iter	Passed	Remaining
0	4	1299
1	7	1101
2	11	1185
3	16	1215
4	20	1221
5	25	1253
6	32	1344
7	38	1389
8	44	1435
9	50	1467
10	56	1489
11	62	1511
12	70	1547
13	77	1589
14	84	1608
15	94	1673
16	102	1704
17	107	1688
18	114	1686
19	123	1723
20	130	1735
21	137	1740
22	143	1733
23	150	1725
24	155	1715
25	161	1705
26	169	1709
27	175	1707
28	182	1708
29	189	1709
30	196	1703
31	203	1702
32	209	1697
33	215	1688
34	222	1682
35	228	1677
36	235	1672
37	240	1661
38	246	1646
39	252	1638
40	257	1626
41	264	1622
42	270	1615
43	276	1611
44	282	1599
45	288	1594
46	294	1583
47	299	1574
48	306	1570
49	312	1563
50	318	1556
51	325	1550
52	330	1540
53	337	1537
54	343	1530
55	349	1522
56	356	1518
57	364	1521
58	371	1517
59	378	1515
60	383	1503
61	389	1495
62	395	1489
63	401	1481
64	407	1472
65	413	1467
66	420	1462
67	426	1454
68	432	1446
69	438	1440
70	444	1432
71	451	1430
72	457	1424
73	465	1420
74	470	1411
75	475	1402
76	481	1393
77	487	1388
78	494	1384
79	500	1377
80	507	1372
81	513	1365
82	520	1360
83	527	1355
84	533	1348
85	540	1344
86	546	1338
87	552	1330
88	557	1322
89	563	1315
90	569	1307
91	575	1301
92	581	1294
93	589	1292
94	595	1285
95	602	1279
96	608	1273
97	614	1267
98	620	1260
99	633	1267
100	640	1261
101	647	1256
102	654	1251
103	661	1245
104	667	1240
105	673	1231
106	679	1224
107	685	1218
108	691	1212
109	697	1205
110	703	1197
111	709	1191
112	715	1184
113	722	1178
114	728	1171
115	733	1163
116	738	1155
117	744	1147
118	749	1140
119	755	1133
120	761	1126
121	767	1120
122	773	1113
123	779	1106
124	785	1099
125	791	1092
126	797	1086
127	803	1079
128	809	1072
129	815	1066
130	822	1060
131	828	1054
132	835	1048
133	841	1042
134	848	1036
135	853	1029
136	860	1023
137	865	1016
138	872	1010
139	878	1004
140	886	999
141	892	993
142	899	987
143	906	981
144	913	976
145	919	970
146	925	963
147	933	958
148	938	951
149	945	945
150	951	938
151	957	932
152	964	926
153	970	920
154	976	913
155	983	907
156	989	901
157	996	895
158	1002	888
159	1007	881
160	1012	874
161	1017	867
162	1023	860
163	1028	852
164	1033	845
165	1039	838
166	1045	832
167	1050	825
168	1055	818
169	1061	811
170	1066	804
171	1072	798
172	1077	791
173	1083	784
174	1089	778
175	1096	772
176	1102	766
177	1109	760
178	1116	754
179	1123	748
180	1129	742
181	1135	736
182	1139	728
183	1148	723
184	1158	720
185	1168	716
186	1175	710
187	1181	703
188	1186	696
189	1192	690
190	1197	683
191	1203	676
192	1210	670
193	1214	663
194	1221	657
195	1228	652
196	1235	645
197	1240	639
198	1246	632
199	1252	626
200	1258	620
201	1265	614
202	1272	608
203	1280	602
204	1285	595
205	1290	589
206	1298	583
207	1304	577
208	1311	570
209	1318	565
210	1324	558
211	1331	552
212	1337	546
